image,time,weather,locations
/imagenet-val/ILSVRC2012_val_00049343.JPEG,day,sunny,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00048098.JPEG,day,none,"[0, 1, 0, 1, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00010772.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00037494.JPEG,day,sunny,"[1, 1, 0, 1, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00030604.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00028202.JPEG,day,sunny,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00040139.JPEG,day,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00023663.JPEG,day,none,"[1, 1, 0, 1, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00004620.JPEG,day,none,"[0, 0, 1, 0, 0, 0, 1, 0, 0]"
/imagenet-val/ILSVRC2012_val_00041455.JPEG,night,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00018222.JPEG,day,sunny,"[1, 0, 0, 0, 0, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00038253.JPEG,night,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00009674.JPEG,day,sunny,"[0, 1, 0, 0, 0, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00004373.JPEG,day,sunny,"[0, 1, 0, 0, 0, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00004643.JPEG,day,sunny,"[0, 1, 0, 1, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00023128.JPEG,day,sunny,"[0, 1, 0, 0, 1, 1, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00039587.JPEG,day,none,"[1, 1, 0, 1, 1, 1, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00029239.JPEG,none,none,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00026695.JPEG,day,sunny,"[0, 1, 0, 0, 1, 0, 0, 0, 0]"
/imagenet-val/ILSVRC2012_val_00047498.JPEG,night,none,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
/imagenet-val/ILSVRC2012_val_00026863.JPEG,day,sunny,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
